,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
12983,19001954,Großes Zimmer am Mauerpark in Prenzlauer Berg,6234930,Julia,Pankow,Helmholtzplatz,52.54317507934028,13.414256119034414,Private room,60,2,0,,,1,0
12984,19001980,Schönes zentrales Zimmer in Berlin,130089284,Monika,Mitte,Brunnenstr. Nord,52.54680391401389,13.380062882290039,Private room,27,5,8,2017-07-16,0.46,2,0
12985,19002523,"Big, cozy apartment Prenzlauer Berg",92274194,Thais,Pankow,Prenzlauer Berg Nordwest,52.55083225405918,13.412938232388296,Entire home/apt,100,3,10,2018-07-26,0.59,1,185
12986,19002552,"Central, Chic - Choriner St, Quiet, Lift, stylish",3077149,Itai,Pankow,Prenzlauer Berg Südwest,52.53726481068575,13.410706547205505,Entire home/apt,65,3,25,2018-11-02,1.47,1,67
12987,19002695,Cozy 50 sq m flat in the heart of Kreuzkölln!,6348024,Jérémie,Neukölln,Reuterstraße,52.493659160913,13.42764230966897,Entire home/apt,60,3,4,2017-11-12,0.24,1,0
12988,19004333,3 Zimmer Wohnung in prime Lage,8912086,René,Charlottenburg-Wilm.,Kurfürstendamm,52.501439680157176,13.323629764814658,Entire home/apt,199,14,1,2018-09-30,0.77,26,57
12989,19005257,Beautiful and sunny Room in Wedding!,31136584,Friederike,Mitte,Osloer Straße,52.56048931414281,13.380498185449385,Private room,20,6,2,2017-06-08,0.11,2,0
12990,19005722,Be Berlin,132603670,Luisa,Pankow,Prenzlauer Berg Ost,52.53640516439396,13.434920380972695,Entire home/apt,70,2,12,2017-10-03,0.76,1,0
12991,19005794,Peace and Love Room,3411279,Tiago,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.48657704576874,13.37630840654843,Private room,35,2,0,,,1,319
12992,19008155,Ruhiges Zimmer am Ostkreuz mit Sonnenbalkon,32251102,Carolin,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.506989517598846,13.468473998506354,Private room,30,4,0,,,1,166
12993,19008504,"hochwertige "" Business Suite""",132279922,Wolfgang,Mitte,Moabit Ost,52.52866061915416,13.369888223365653,Entire home/apt,215,7,0,,,3,173
12995,19009120,Big cozy Loft in the heart of Berlin,2254680,Raphael,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.509705929014245,13.46193613882545,Entire home/apt,50,1,12,2018-07-24,0.69,1,0
12996,19009203,Appartment to be!,28828249,Robert,Neukölln,Neuköllner Mitte/Zentrum,52.464539147298574,13.434867171404779,Entire home/apt,130,3,4,2018-08-26,0.27,2,0
12997,19009525,Gemütliches Zimmer im lebendigen Mitte,6455819,Samira,Mitte,Brunnenstr. Süd,52.535250446336654,13.379684481002775,Private room,38,2,39,2018-10-21,2.28,1,30
12998,19010350,"Bright, calm and clean room",80738683,Julia,Mitte,Osloer Straße,52.55739005394182,13.392506791108,Private room,35,3,10,2018-09-30,0.57,2,97
12999,19011567,urban living in Berlin Friedrishain,132638344,Laura,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.51936116530108,13.467231969791253,Entire home/apt,50,2,20,2018-07-27,1.14,1,0
13000,19012121,Rooftop-flat NeuKölln,132642015,Lennart,Neukölln,Britz,52.451541283674096,13.438570745597682,Private room,26,2,3,2017-08-06,0.17,1,0
13001,19012375,Habitación en el corazón de Kreuzberg,19400698,Claudia,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49993923266315,13.443069534571727,Private room,35,4,15,2018-06-04,0.89,1,6
13002,19012523,Room in Neukölln,20600329,Martin,Neukölln,Reuterstraße,52.48435543009239,13.436497167184928,Private room,18,1,0,,,2,0
13003,19013849,cosy small room - central Prenzlauer Berg,14204577,Chrissie,Pankow,Prenzlauer Berg Nord,52.54919601570405,13.430234077419415,Private room,23,2,0,,,3,0
13004,19014151,Entspanntes Wohnen im Wedding,132658688,Giacomo,Mitte,Osloer Straße,52.5612742585387,13.388496365615302,Entire home/apt,75,3,4,2018-01-03,0.23,1,325
13005,19014614,"Big, bright, beautiful and modern apartment",132663431,Jos,Steglitz - Zehlendorf,Albrechtstr.,52.45016680073986,13.319018031153975,Entire home/apt,80,14,2,2017-06-24,0.12,1,130
13006,19014636,Room with no view for 2 in Berlin Mitte,132665622,Hei,Mitte,Moabit West,52.52667933646682,13.327894877177476,Private room,37,1,33,2018-11-04,1.9,1,75
13007,19015910,Friendly oasis in the heart of Schöneberg,123727428,Leo,Tempelhof - Schöneberg,Schöneberg-Nord,52.49887837297672,13.350516783117554,Private room,28,2,10,2017-09-26,0.57,1,279
13008,19016256,Schöne Berliner Altbauwohnung,59433359,Leon,Mitte,Osloer Straße,52.55944287066134,13.379931282214505,Private room,53,2,1,2017-06-04,0.06,1,0
13009,19016841,Beautiful Apartment in the heart of Prenzlauerberg,962264,Jannes & Seri,Pankow,Prenzlauer Berg Süd,52.532736420276535,13.431648633611534,Entire home/apt,85,2,2,2017-07-08,0.12,1,0
13010,19021766,Cosy and beautiful apartment near Viktoriapark,39137349,Vanessa,Tempelhof - Schöneberg,Schöneberg-Süd,52.486968164287035,13.36402288815836,Entire home/apt,59,1,2,2017-08-12,0.13,1,0
13011,19021992,Panoramic Studio in Kreutzberg,4988921,Flavio,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.50479768432778,13.415251144000614,Entire home/apt,70,3,0,,,1,4
13012,19022797,Großes Zimmer im Prenzlauer Berg,38629217,Johanna,Pankow,Prenzlauer Berg Nord,52.54892657172235,13.416267167814512,Private room,35,1,3,2018-11-04,0.37,1,0
13013,19023126,Unique & best located in Mitte Berlin,46357364,Vladimir,Mitte,Regierungsviertel,52.51079487935917,13.397671615088823,Entire home/apt,100,7,30,2018-11-04,3.2,2,226
13014,19024557,"nice, new, comfy, bright - 15 min to center  R5-2",47779600,Urs Und Ila,Pankow,Weißensee,52.54665835303098,13.450538063508375,Entire home/apt,42,61,0,,,13,50
13015,19026029,Nice room in Neukoelln,1414957,Seza,Neukölln,Neuköllner Mitte/Zentrum,52.48052449070922,13.426757201386554,Private room,99,1,7,2018-10-09,0.41,1,365
13016,19026047,"Nice quiet 25qm room, August, in Moabit Tiergarten",60804383,Martha,Mitte,Moabit West,52.52417699374963,13.340702337788056,Private room,28,1,0,,,1,0
13017,19026267,Sweet room in Neukölln,132766539,Karim,Neukölln,Köllnische Heide,52.47058547105359,13.452417801414946,Private room,33,3,0,,,1,0
13018,19027277,huge room in a nice apartment,132774565,Patrisija,Lichtenberg,Alt-Lichtenberg,52.51274185402367,13.497995494006211,Private room,60,2,10,2018-10-07,0.62,1,12
13019,19027879,the sunny and welcoming balcony,35015269,Linus Und Stefan,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.50988831218503,13.45850772315306,Private room,32,2,7,2018-09-23,0.4,2,0
13020,19028960,Zu Hause fühlen in PrenzlBerg,31679522,Svetlana,Pankow,Prenzlauer Berg Nordwest,52.555624274965965,13.413209254793882,Entire home/apt,50,5,2,2017-08-15,0.11,1,0
13021,19029646,Bright & beautiful living+bed room in Kreuzkoelln,132792599,Mariemma,Neukölln,Reuterstraße,52.495368287136706,13.421189004445202,Private room,37,2,4,2018-08-29,1.15,1,102
13022,19030002,Schöne Familienwohnung im Prenzlauer Berg,132796421,Rene,Pankow,Prenzlauer Berg Nordwest,52.551885053392645,13.402922961193273,Entire home/apt,80,3,5,2018-11-03,0.32,1,0
13023,19031121,Oasis with terrace and good connection,33583073,Ralph,Lichtenberg,Neu Lichtenberg,52.50157688627372,13.490547489056713,Private room,39,3,1,2017-07-12,0.06,2,87
13024,19031999,"Privates, helles Zimmer am Kudamm",132810080,Songyul,Charlottenburg-Wilm.,Düsseldorfer Straße,52.49342923600562,13.304460067865614,Private room,24,2,2,2017-07-08,0.12,1,0
13025,19034867,Cozy Room in Berlin Friedrichshain,43743670,Frithjof,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Nord,52.521545467215354,13.4463831267446,Private room,90,1,3,2018-09-20,0.19,1,179
13026,19035712,Ruhiges Zimmer mit Hochbett im Bergmannkiez,1910770,Selda,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.48879706594402,13.391427706541032,Private room,65,2,1,2017-06-05,0.06,1,0
13027,19036485,Room in the middle of Kreuzberg,774949,Tobias,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49282834773582,13.401452632363524,Private room,65,1,10,2018-09-20,0.7,1,161
13028,19042337,Bright and cosy private room in Friedrichshain,34385521,René,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.521729109855634,13.452506455050779,Private room,23,5,8,2018-07-17,0.46,2,0
13029,19042383,Ruhige Wohnung mit Gartenzugang,7845891,Jörg,Steglitz - Zehlendorf,Drakestr.,52.43448545786089,13.303929595498273,Entire home/apt,89,5,2,2017-08-12,0.13,2,0
13030,19043041,CozyRoom/Hippie Flat EastSideGallery/WarschauerSt.,21173840,Ela,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.51463086618321,13.453825629560999,Private room,35,1,14,2018-10-30,1.16,2,24
13031,19044015,Private Room in East Berlin (near Friedrichshain),17699482,Laura,Lichtenberg,Alt-Lichtenberg,52.52010372672503,13.479053125993554,Private room,16,1,6,2018-03-12,0.35,1,0
13032,19044306,Schöne Altbauwohnung,132920345,Anita,Mitte,Moabit West,52.53151651668286,13.33229367506088,Private room,39,3,16,2018-01-02,0.92,1,0
13033,19044502,Spacious nice flat in central Kreuzberg,132918428,Mikal,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.497583613134005,13.427342529630122,Entire home/apt,55,3,44,2018-10-22,2.56,1,13
13034,19047792,Bright room in Neukölln (WG),35700774,Konstantin,Neukölln,Schillerpromenade,52.46630502773868,13.42813186090468,Private room,39,22,0,,,19,365
13035,19047800,"Große, sonnige Wohnung nähe Boxi",79256173,Sinja,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,52.51298700325445,13.450408911664162,Private room,38,2,2,2017-06-18,0.12,1,307
13036,19050207,Beautiful big light room with balcony,856367,Anne,Treptow - Köpenick,Plänterwald,52.48249435983962,13.469924567841392,Private room,31,1,29,2018-10-29,1.74,1,86
13037,19050972,Großes zentrales Zimmer nähe Alexanderplatz,132833549,Christopher,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,52.518545561903025,13.431209483453536,Private room,69,2,11,2018-08-29,0.69,1,3
13038,19051351,"Hübsche Berliner Wohnung, Altbau, 2 Zimmer, Balkon",132952155,Adam Alex,Neukölln,Neuköllner Mitte/Zentrum,52.4701735901024,13.43637138004031,Entire home/apt,35,4,22,2018-09-24,1.9,1,93
13039,19052134,Unterkunft in Berlin!!,45460637,Max,Tempelhof - Schöneberg,Schöneberg-Nord,52.49570640371167,13.361286284495462,Private room,90,2,0,,,1,0
13040,19052135,Wunderschöne Wohnung in Berlin ( Baumschulenweg),25340665,Sabrina,Treptow - Köpenick,Baumschulenweg,52.46917371489063,13.48870116070522,Private room,27,4,1,2017-07-17,0.06,1,0
13041,19054552,Berlin Zentrum,33283840,Felix,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,52.49713570242064,13.417330810884051,Private room,20,4,13,2018-08-08,0.75,2,0
13042,19059725,3 Room Apartment in the heart of Charlottenburg,3239972,Enrique,Charlottenburg-Wilm.,Kurfürstendamm,52.50334314520885,13.306792525135345,Private room,42,240,0,,,1,310
13043,19061860,"Grünes Berlin, 20 Min bis Mitte",42696213,Micki,Reinickendorf,Nord 2,52.60572273655861,13.319634294250765,Entire home/apt,40,1,1,2017-06-05,0.06,1,0
13044,19062009,Cozy 2-room Flat between Canal and Treptower Park,133067605,Maxo,Neukölln,Rixdorf,52.48653544939683,13.449084267854635,Private room,98,3,11,2018-05-21,0.65,1,0
13045,19062999,"Ruhig, grün, Central",133073482,Natali,Charlottenburg-Wilm.,Charlottenburg Nord,52.539420167157935,13.283238226692756,Entire home/apt,50,4,8,2017-10-08,0.49,1,0
13046,19064172,Quite studio in the city center next to the centra,133082684,Celine,Mitte,Moabit Ost,52.52011487090285,13.342903369375042,Private room,25,2,12,2017-10-18,0.71,1,0
13047,19064441,Wonderful family apartement in very good location,133085267,Michael,Pankow,Weißensee,52.55383675907446,13.437455644647894,Entire home/apt,70,1,104,2018-11-01,5.99,1,57
